81|89|1|53|15|27|9|51|50|23|2|72|38|78|6|59|31|22|94|38|37|18|87|60|55|56|70|53|68|12|53|53|30|83|65|45|56|98|57|45|35|87|67|15|97|75|85|52|71|70|
7|85|61|91|34|42|15|74|42|10|64|49|9|40|25|1|34|77|79|73|90|16|9|43|89|10|32|68|67|82|24|46|48|19|90|84|60|81|27|79|84|94|90|3|29|35|98|63|17|89|
66|78|72|8|19|10|35|62|34|99|19|43|5|41|16|67|61|44|61|97|89|54|18|12|48|35|43|30|81|79|84|35|11|66|30|34|99|58|97|1|15|54|94|69|44|50|33|36|88|56|

96|55|40|91|74|67|78|61|24|100|24|28|49|37|19|47|43|70|22|27|49|72|17|1|23|6|82|4|86|30|30|71|51|14|86|69|27|62|3|85|57|6|100|91|26|50|94|6|55|62|
76|50|97|89|58|8|52|82|67|9|19|12|60|7|5|79|100|79|46|15|40|99|98|63|25|91|15|95|47|66|92|28|34|94|84|50|84|66|10|44|50|74|32|82|60|49|81|51|26|47|
88|41|42|90|47|79|37|11|17|47|16|37|71|14|53|72|28|53|9|52|77|90|38|1|54|13|76|34|21|69|41|28|57|96|73|31|74|71|87|4|13|71|69|18|64|34|79|14|1|12|

11|79|49|33|78|34|85|80|68|12|33|82|31|54|34|27|25|88|5|90|97|11|59|26|30|83|18|72|73|19|13|55|89|99|14|46|60|96|28|53|14|33|20|22|8|7|16|38|33|87|
41|83|28|16|99|94|75|95|68|65|5|25|58|80|61|54|1|98|98|18|24|87|72|59|23|21|54|15|20|99|49|48|65|35|30|75|51|41|80|9|32|66|65|99|49|8|75|37|46|84|
80|27|92|36|20|49|65|37|85|99|7|52|92|3|78|35|8|33|42|84|34|48|98|3|85|96|33|1|34|42|62|47|74|33|96|48|89|80|83|14|11|97|91|73|52|82|18|34|11|51|
